Model,Accuracy,AUC,Recall,Precision,F1
LogisticRegression,0.5708041958041958,,0.5708041958041958,0.5750559392533614,0.5678064751766035
RandomForest,0.7578671328671329,,0.7578671328671329,0.7933785740197858,0.756203204469912
GBT_OneVsRest,0.9641608391608392,,0.9641608391608392,0.9651677651964794,0.9642012063735235
DecisionTree,0.7701048951048951,,0.7701048951048951,0.7908081427436923,0.7706836128735847
NaiveBayes,0.2395104895104895,,0.2395104895104895,0.24792205408086082,0.209324726480609
MLP,0.3129370629370629,,0.3129370629370629,0.15206464739010414,0.18087407730700417
