City,Price(TRY),Brand,Series,Model,Year,Mileage(km),TransmissionType,FuelType,BodyType,EngineSize(cc),EnginePower(HP),DriveTrain,ListingYear,ListingMonth,ListingDay
33,3175000,0,26,1125,2020,63515,0,0,3,1801,201,0,2025,4,7
77,868950,0,24,1073,2013,160000,2,0,3,1598,105,1,2025,4,7
44,420000,0,27,1128,2000,342000,0,4,6,1781,150,1,2025,4,7
5,850000,0,25,1092,2005,290000,0,4,8,1781,163,1,2025,4,7
65,750000,0,25,1100,2010,280000,0,2,6,1798,120,1,2025,4,7
5,385000,0,25,1097,2004,50000,1,4,6,1595,102,1,2025,4,7
20,315000,0,25,1097,2000,345000,0,2,6,1595,101,1,2025,4,7
6,430000,0,24,1061,2008,241000,1,2,2,1390,125,1,2025,4,7
29,1365000,0,27,1131,2013,285000,0,0,6,1968,177,1,2025,4,7
28,1190000,0,24,1045,2017,182000,2,0,6,,,1,2025,4,7
5,1100000,0,27,1131,2013,405000,0,0,6,1968,177,1,2025,4,7
6,1320000,0,24,1074,2016,79544,2,0,3,1598,110,1,2025,4,7
22,1275000,0,24,1075,2017,86000,2,0,3,1598,110,1,2025,4,7
22,1460000,0,24,1049,2019,240000,2,0,6,1598,116,1,2025,4,7
0,1875000,0,24,1053,2023,59500,0,2,6,,,3,2025,4,7
77,460000,0,24,1067,2007,292000,1,2,2,1595,115,1,2025,4,7
40,2199000,0,26,1117,2017,164000,2,2,3,1395,150,1,2025,4,7
58,3690000,0,29,943,2014,257000,0,2,6,3993,435,0,2025,4,7
5,1728000,0,27,1131,2015,312000,0,0,6,1801,176,1,2025,4,7
20,1640000,0,24,1087,2020,27750,0,2,3,1401,126,1,2025,4,7
77,2544000,0,24,1056,2023,25000,0,2,6,1401,126,1,2025,4,7
6,1410000,0,24,1076,2017,137000,0,0,3,1401,101,1,2025,4,7
77,825000,0,25,1100,2008,280000,0,2,6,1798,160,1,2025,4,7
29,1275000,0,27,1131,2012,341000,0,0,6,1968,177,1,2025,4,7
41,2245000,0,26,1123,2017,174000,0,0,3,1801,176,0,2025,4,7
6,1040000,0,24,1072,2013,179000,0,0,3,1401,101,1,2025,4,7
9,1475000,0,26,1121,2015,250000,0,0,3,1801,176,0,2025,4,7
29,855000,0,101,860,2008,250000,0,2,1,1801,201,1,2025,4,7
77,1329000,0,26,1121,2015,196500,0,0,3,1801,176,0,2025,4,7
77,1355000,0,24,1055,2020,96000,0,2,6,1401,126,1,2025,4,7
44,2225900,0,27,1133,2017,192500,2,2,6,1984,252,0,2025,4,7
5,750000,0,24,1061,2009,232000,0,2,3,1201,101,1,2025,4,7
20,529000,0,25,1107,2005,340000,0,4,6,1984,200,1,2025,4,7
43,485000,0,24,1067,2004,320000,1,4,2,1595,115,1,2025,4,7
5,3400000,0,25,1113,2023,14000,0,2,6,1801,251,0,2025,4,7
37,830000,0,27,1131,2011,387000,0,0,6,1968,170,1,2025,4,7
43,1275000,0,101,860,2010,70000,0,2,5,1801,251,1,2025,4,7
0,1050000,0,25,1101,2012,244000,0,0,6,1968,177,1,2025,4,7
77,799900,0,25,1101,2013,350000,0,0,6,1968,150,1,2025,4,7
29,1310000,0,25,1093,2016,252000,0,2,6,1201,126,1,2025,4,7
21,360000,0,24,1064,2000,360000,0,4,3,1401,101,1,2025,4,7
41,750000,0,27,1137,2005,337000,0,4,6,3123,255,0,2025,4,7
63,737500,0,27,1131,2007,384000,0,0,6,1968,140,1,2025,4,7
77,1815000,0,24,1032,2017,85238,2,2,8,1498,150,1,2025,4,7
44,1600000,0,27,1131,2015,300000,2,0,6,1968,190,1,2025,4,6
0,1330000,0,25,1104,2013,175000,2,0,6,1968,177,0,2025,4,6
78,1599900,0,24,1087,2020,93192,2,2,3,1498,150,3,2025,4,6
24,1475000,0,25,1104,2013,280000,2,0,6,1968,177,0,2025,4,6
77,1240000,0,24,1071,2015,94000,2,0,3,1598,110,1,2025,4,6
0,545000,0,24,1068,2010,195870,2,4,3,1595,102,1,2025,4,6
29,2355000,0,25,1096,2016,57750,2,2,6,1395,150,1,2025,4,6
